Title,director,mpa_rating,length,genre,release_date,imdb_rating,vote_count,synopsis
Casino,Martin Scorsese,R,2h 58min,Crime,22 November 1995 (USA),8.2,"438,185","A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite."
Ran,Akira Kurosawa,R,2h 42min,Action,1 June 1985 (Japan),8.2,"104,667","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
Some Like It Hot,Billy Wilder,Not Rated,2h 1min,Comedy,19 March 1959 (USA),8.2,"231,595","When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
The Great Escape,John Sturges,Not Rated,2h 52min,Adventure,4 July 1963 (USA),8.2,"213,865",Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
Howl's Moving Castle,Hayao Miyazaki,PG,1h 59min,Animation,17 June 2005 (USA),8.2,"300,050","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
Pan's Labyrinth,Guillermo del Toro,R,1h 58min,Drama,19 January 2007 (USA),8.2,"594,036","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
All About Eve,Joseph L. Mankiewicz,Passed,2h 18min,Drama,27 October 1950 (USA),8.2,"114,429",An ingénue insinuates herself into the lives of an established but aging stage actress and her circle of theater friends.
A Beautiful Mind,Ron Howard,PG-13,2h 15min,Biography,4 January 2002 (USA),8.2,"807,156",After
Children of Heaven,Majid Majidi,PG,1h 29min,Drama,22 January 1999 (USA),8.3,"58,855","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
Green Book,Peter Farrelly,PG-13,2h 10min,Biography,16 November 2018 (USA),8.2,"304,271",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.
Unforgiven,Clint Eastwood,R,2h 10min,Drama,7 August 1992 (USA),8.2,"357,196","Retired Old West gunslinger William Munny (Clint Eastwood) reluctantly takes on one last job, with the help of his old partner Ned Logan (Morgan Freeman) and a young man, The ""Schofield Kid"" (Jaimz Woolvett)."
Downfall,Oliver Hirschbiegel,R,2h 36min,Biography,8 April 2005 (USA),8.2,"317,459",
Come and See,Elem Klimov,Not Rated,2h 22min,Drama,17 October 1985 (Hungary),8.3,"48,892","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
Die Hard,John McTiernan,R,2h 12min,Action,20 July 1988 (USA),8.2,"752,728",An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
Batman Begins,Christopher Nolan,PG-13,2h 20min,Action,15 June 2005 (USA),8.2,"1,249,178","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
Yojimbo,Akira Kurosawa,Not Rated,1h 50min,Action,13 September 1961 (USA),8.2,"103,597",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
Rashomon,Akira Kurosawa,Not Rated,1h 28min,Crime,26 December 1951 (USA),8.2,"143,019","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
Heat,Michael Mann,R,2h 50min,Crime,15 December 1995 (USA),8.2,"547,488",A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
L.A. Confidential,Curtis Hanson,R,2h 18min,Crime,19 September 1997 (USA),8.2,"511,039","As corruption grows in 1950s Los Angeles, three policemen -- one strait-laced, one brutal, and one sleazy -- investigate a series of murders with their own brand of justice."
Monty Python and the Holy Grail,Terry Gilliam,PG,1h 31min,Adventure,25 May 1975 (UK),8.2,"481,172","King Arthur (Graham Chapman) and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
Double Indemnity,Billy Wilder,Passed,1h 47min,Crime,6 July 1944 (USA),8.3,"135,103",An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.
Incendies,Denis Villeneuve,R,2h 10min,Drama,12 January 2011 (France),8.3,"134,456",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
Indiana Jones and the Last Crusade,Steven Spielberg,PG-13,2h 7min,Action,24 May 1989 (USA),8.2,"661,356","In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against"
The Apartment,Billy Wilder,Not Rated,2h 5min,Comedy,16 September 1960 (France),8.3,"153,293","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
Up,Pete Docter,PG,1h 36min,Animation,29 May 2009 (USA),8.2,"889,163","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
To Kill a Mockingbird,Robert Mulligan,Approved,2h 9min,Crime,16 March 1963 (USA),8.2,"282,906","Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice."
A Separation,Asghar Farhadi,PG-13,2h 3min,Drama,16 March 2011 (Iran),8.3,"207,994",A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
Ikiru,Akira Kurosawa,Not Rated,2h 23min,Drama,25 March 1956 (USA),8.3,"62,387",A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.
For a Few Dollars More,Sergio Leone,R,2h 12min,Western,10 May 1967 (USA),8.3,"218,756",Two bounty hunters with the same intentions team up to track down a Western outlaw.
Metropolis,Fritz Lang,Not Rated,2h 33min,Drama,13 March 1927 (USA),8.3,"151,685","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences."
Amélie,Jean-Pierre Jeunet,R,2h 2min,Comedy,8 February 2002 (USA),8.3,"676,705","Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
Lawrence of Arabia,David Lean,Approved,3h 48min,Adventure,30 January 1963 (Canada),8.3,"254,198",The story of
The Sting,George Roy Hill,PG,2h 9min,Comedy,25 December 1973 (USA),8.3,"230,268",Two grifters team up to pull off the ultimate con.
Capernaum,Nadine Labaki,R,2h 6min,Drama,20 September 2018 (Lebanon),8.4,"41,554","While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
Taxi Driver,Martin Scorsese,R,1h 54min,Crime,9 February 1976 (USA),8.3,"680,721","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute."
Scarface,Brian De Palma,R,2h 50min,Crime,9 December 1983 (USA),8.3,"700,095","In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
Singin' in the Rain,Stanley Donen,G,1h 43min,Comedy,11 April 1952 (USA),8.3,"207,089",A silent film production company and cast make a difficult transition to sound.
Bicycle Thieves,Vittorio De Sica,Not Rated,1h 29min,Drama,13 December 1949 (USA),8.3,"135,896","In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it."
Toy Story 3,Lee Unkrich,G,1h 43min,Animation,18 June 2010 (USA),8.3,"723,000","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
Snatch,Guy Ritchie,R,1h 42min,Comedy,19 January 2001 (USA),8.3,"749,414","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
The Kid,Charles Chaplin,Not Rated,1h 8min,Comedy,6 February 1921 (USA),8.3,"104,742","The Tramp cares for an abandoned child, but events put that relationship in jeopardy."
A Clockwork Orange,Stanley Kubrick,R,2h 16min,Crime,2 February 1972 (USA),8.3,"722,443","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
North by Northwest,Alfred Hitchcock,Approved,2h 16min,Adventure,26 September 1959 (Japan),8.3,"284,077",A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.
Full Metal Jacket,Stanley Kubrick,R,1h 56min,Drama,10 July 1987 (USA),8.3,"641,058",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
The Hunt,Thomas Vinterberg,R,1h 55min,Drama,10 January 2013 (Denmark),8.3,"259,113","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
Citizen Kane,Orson Welles,PG,1h 59min,Drama,5 September 1941 (USA),8.3,"379,261","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'."
Dangal,Nitesh Tiwari,Not Rated,2h 41min,Action,21 December 2016 (USA),8.4,"137,924",Former wrestler
Eternal Sunshine of the Spotless Mind,Michel Gondry,R,1h 48min,Drama,19 March 2004 (USA),8.3,"864,414","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
M,Fritz Lang,Not Rated,1h 39min,Crime,31 August 1931 (Sweden),8.3,"134,967","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
Vertigo,Alfred Hitchcock,PG,2h 8min,Mystery,16 June 1958 (Canada),8.3,"339,611",A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.
Requiem for a Dream,Darren Aronofsky,R,1h 42min,Drama,15 December 2000 (USA),8.3,"730,939",The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
Good Will Hunting,Gus Van Sant,R,2h 6min,Drama,9 January 1998 (USA),8.3,"811,526","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
Amadeus,Milos Forman,R,2h 40min,Biography,19 September 1984 (USA),8.3,"352,449","The life, success and troubles of"
Like Stars on Earth,Aamir Khan,PG,2h 45min,Drama,21 December 2007 (Canada),8.4,"153,656","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
Inglourious Basterds,Quentin Tarantino,R,2h 33min,Adventure,21 August 2009 (USA),8.3,"1,193,030","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
Reservoir Dogs,Quentin Tarantino,R,1h 39min,Crime,2 September 1992 (France),8.3,"873,893","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
2001: A Space Odyssey,Stanley Kubrick,G,2h 29min,Adventure,12 May 1968 (UK),8.3,"571,289","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000."
High and Low,Akira Kurosawa,Not Rated,2h 23min,Crime,26 November 1963 (USA),8.5,"27,130",An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.
Star Wars: Episode VI - Return of the Jedi,Richard Marquand,PG,2h 11min,Action,25 May 1983 (USA),8.3,"907,793","After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
3 Idiots,Rajkumar Hirani,PG-13,2h 50min,Comedy,25 December 2009 (India),8.4,"319,323","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
Braveheart,Mel Gibson,R,2h 58min,Biography,24 May 1995 (USA),8.3,"924,137","When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England."
Das Boot,Wolfgang Petersen,R,2h 29min,Adventure,10 February 1982 (USA),8.3,"220,432","The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror."
Toy Story,John Lasseter,G,1h 21min,Animation,22 November 1995 (USA),8.3,"842,806",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
American Beauty,Sam Mendes,R,2h 2min,Drama,1 October 1999 (USA),8.3,"1,027,854",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
Your Name.,Makoto Shinkai,PG,1h 46min,Animation,7 April 2017 (USA),8.4,"162,035","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
Once Upon a Time in America,Sergio Leone,R,3h 49min,Crime,1 June 1984 (USA),8.4,"293,183","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
Coco,Lee Unkrich,PG,1h 45min,Animation,22 November 2017 (USA),8.4,"327,658","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
1917,Sam Mendes,R,1h 59min,Drama,10 January 2020 (USA),8.4,"257,332","April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
The Dark Knight Rises,Christopher Nolan,PG-13,2h 44min,Action,20 July 2012 (USA),8.4,"1,448,271","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
Aliens,James Cameron,R,2h 17min,Action,18 July 1986 (USA),8.3,"625,443","Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?"
Oldboy,Chan-wook Park,R,2h,Action,21 November 2003 (South Korea),8.4,"485,325","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
Witness for the Prosecution,Billy Wilder,Not Rated,1h 56min,Crime,6 February 1958 (USA),8.4,"99,657",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
Princess Mononoke,Hayao Miyazaki,PG-13,2h 14min,Animation,19 December 1997 (USA),8.4,"315,562","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
Dr. Strangelove,Stanley Kubrick,PG,1h 35min,Comedy,29 January 1964 (USA),8.4,"431,282",An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.
WALL·E,Andrew Stanton,G,1h 38min,Animation,27 June 2008 (USA),8.4,"951,616","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
Sunset Blvd.,Billy Wilder,Passed,1h 50min,Drama,29 September 1950 (Australia),8.4,"189,241",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
Spider-Man: Into the Spider-Verse,Bob Persichetti,PG,1h 57min,Animation,14 December 2018 (USA),8.4,"305,177","Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities."
The Shining,Stanley Kubrick,R,2h 26min,Drama,13 June 1980 (USA),8.4,"841,869","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
Avengers: Endgame,Anthony Russo,PG-13,3h 1min,Action,26 April 2019 (USA),8.4,"687,572",After the devastating events of
Paths of Glory,Stanley Kubrick,Approved,1h 28min,Drama,November 1957 (West Germany),8.4,"166,248","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
The Lives of Others,Florian Henckel von Donnersmarck,R,2h 17min,Drama,30 March 2007 (USA),8.4,"339,860","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
The Great Dictator,Charles Chaplin,Passed,2h 5min,Comedy,7 March 1941 (USA),8.4,"191,145",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
Django Unchained,Quentin Tarantino,R,2h 45min,Drama,25 December 2012 (USA),8.4,"1,279,332","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
Memento,Christopher Nolan,R,1h 53min,Mystery,25 May 2001 (USA),8.4,"1,072,358",A man with short-term memory loss attempts to track down his wife's murderer.
Avengers: Infinity War,Anthony Russo,PG-13,2h 29min,Action,27 April 2018 (USA),8.5,"757,499",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
Apocalypse Now,Francis Ford Coppola,R,2h 27min,Drama,15 August 1979 (USA),8.4,"575,460",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
Alien,Ridley Scott,R,1h 57min,Horror,22 June 1979 (USA),8.4,"749,011","After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun."
Raiders of the Lost Ark,Steven Spielberg,PG,1h 55min,Action,12 June 1981 (USA),8.4,"845,776","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before"
Cinema Paradiso,Giuseppe Tornatore,R,2h 35min,Drama,23 February 1990 (USA),8.5,"214,272",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
Rear Window,Alfred Hitchcock,PG,1h 52min,Mystery,September 1954 (USA),8.4,"419,868",A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
American History X,Tony Kaye,R,1h 59min,Drama,20 November 1998 (USA),8.5,"992,473",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
Harakiri,Masaki Kobayashi,Not Rated,2h 13min,Action,4 August 1964 (USA),8.7,"31,729","When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
Léon: The Professional,Luc Besson,R,1h 50min,Action,18 November 1994 (USA),8.5,"979,290","Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
The Usual Suspects,Bryan Singer,R,1h 46min,Crime,16 August 1995 (USA),8.5,"945,931","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
The Lion King,Roger Allers,G,1h 28min,Animation,24 June 1994 (USA),8.5,"893,391","A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities."
The Green Mile,Frank Darabont,R,3h 9min,Crime,10 December 1999 (USA),8.6,"1,078,339","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
Spirited Away,Hayao Miyazaki,PG,2h 5min,Animation,28 March 2003 (USA),8.6,"598,414","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
Saving Private Ryan,Steven Spielberg,R,2h 49min,Drama,24 July 1998 (USA),8.6,"1,171,426","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
Interstellar,Christopher Nolan,PG-13,2h 49min,Adventure,7 November 2014 (USA),8.6,"1,390,381",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
It's a Wonderful Life,Frank Capra,Passed,2h 10min,Drama,7 January 1947 (USA),8.6,"378,720",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
Parasite,Bong Joon Ho,R,2h 12min,Comedy,8 November 2019 (USA),8.6,"341,628","A poor family, the Kims, con their way into becoming the servants of a rich family, the Parks. But their easy life gets complicated when their deception is threatened with exposure."
Life Is Beautiful,Roberto Benigni,PG-13,1h 56min,Comedy,12 February 1999 (USA),8.6,"586,636","When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
The Silence of the Lambs,Jonathan Demme,R,1h 58min,Crime,14 February 1991 (USA),8.6,"1,198,873","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
Star Wars: Episode IV - A New Hope,George Lucas,PG,2h 1min,Action,25 May 1977 (USA),8.6,"1,179,150","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
City of God,Fernando Meirelles,R,2h 10min,Crime,13 February 2004 (USA),8.6,"671,304","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
Seven Samurai,Akira Kurosawa,Not Rated,3h 27min,Action,19 November 1956 (USA),8.6,"299,068",A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
Se7en,David Fincher,R,2h 7min,Crime,22 September 1995 (USA),8.6,"1,361,165","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
One Flew Over the Cuckoo's Nest,Milos Forman,R,2h 13min,Drama,19 November 1975 (USA),8.7,"870,254","A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
Goodfellas,Martin Scorsese,R,2h 26min,Biography,21 September 1990 (USA),8.7,"961,947",The story of
The Matrix,Lana Wachowski,R,2h 16min,Action,31 March 1999 (USA),8.7,"1,589,748",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Forrest Gump,Robert Zemeckis,PG-13,2h 22min,Drama,6 July 1994 (USA),8.8,"1,705,178","The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
The Lord of the Rings: The Two Towers,Peter Jackson,PG-13,2h 59min,Adventure,18 December 2002 (USA),8.7,"1,416,434","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
Inception,Christopher Nolan,PG-13,2h 28min,Action,16 July 2010 (USA),8.8,"1,937,593",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
Fight Club,David Fincher,R,2h 19min,Drama,15 October 1999 (USA),8.8,"1,763,363","An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,PG,2h 4min,Action,20 June 1980 (USA),8.7,"1,107,168","After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy."
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,PG-13,2h 58min,Action,19 December 2001 (USA),8.8,"1,580,769",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
"The Good, the Bad and the Ugly",Sergio Leone,R,2h 58min,Western,29 December 1967 (USA),8.8,"654,570",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
Pulp Fiction,Quentin Tarantino,R,2h 34min,Crime,14 October 1994 (USA),8.9,"1,735,122","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
12 Angry Men,Sidney Lumet,Approved,1h 36min,Drama,10 April 1957 (USA),8.9,"645,420",A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
Schindler's List,Steven Spielberg,R,3h 15min,Biography,4 February 1994 (USA),8.9,"1,152,188","In German-occupied Poland during World War II, industrialist"
The Godfather: Part II,Francis Ford Coppola,R,3h 22min,Crime,18 December 1974 (USA),9.0,"1,066,145","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
The Godfather,Francis Ford Coppola,R,2h 55min,Crime,24 March 1972 (USA),9.2,"1,521,924",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight,Christopher Nolan,PG-13,2h 32min,Action,18 July 2008 (USA),9.0,"2,188,447","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
The Lord of the Rings: The Return of the King,Peter Jackson,PG-13,3h 21min,Adventure,17 December 2003 (USA),8.9,"1,568,615",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
